Date,Cape Town,London,New York,Sydney,Tokyo
2025-03-01,21.3,5.5,7.9,24.4,12.6
2025-03-02,24.9,5.2,-2.9,23.2,14.5
2025-03-03,22.5,5.8,-0.8,22.4,6.5
2025-03-04,21.9,6.4,6.1,22.3,2.4
2025-03-05,22.0,7.2,10.3,22.8,5.2
2025-03-06,20.8,9.8,9.2,22.7,9.2
2025-03-07,22.2,13.0,5.7,22.7,7.1
2025-03-08,21.7,12.2,5.4,22.9,3.3
2025-03-09,19.5,12.2,6.0,23.5,6.8
2025-03-10,19.7,10.2,12.0,23.2,8.9
2025-03-11,21.8,7.3,12.5,21.1,10.2
2025-03-12,22.6,5.9,9.5,22.1,11.5
2025-03-13,24.3,4.8,6.3,23.3,14.5
2025-03-14,24.9,5.1,7.7,25.0,12.8
2025-03-15,19.0,5.2,7.1,26.1,8.9
2025-03-16,20.3,5.3,12.3,30.3,6.4
2025-03-17,20.9,6.6,11.5,20.0,10.1
2025-03-18,24.8,6.5,8.3,20.1,8.5
2025-03-19,23.6,10.2,10.8,22.6,5.8
2025-03-20,19.7,13.4,8.1,23.5,8.2
2025-03-21,21.1,13.3,7.7,22.8,11.0
2025-03-22,20.1,13.5,10.8,22.4,15.6
2025-03-23,18.8,11.4,4.3,21.8,17.5
2025-03-24,19.1,9.4,7.0,22.4,14.7
2025-03-25,18.5,10.2,11.3,22.7,17.5
2025-03-26,18.7,12.7,7.6,22.6,20.3
2025-03-27,21.5,10.1,6.1,21.7,17.6
2025-03-28,20.8,11.3,11.9,22.1,20.2
2025-03-29,17.5,9.7,16.4,20.2,8.0
2025-03-30,19.5,13.3,7.2,21.0,9.2
2025-03-31,20.2,11.1,13.9,19.6,7.2
