City,Date,Temperature,Humidity,WindSpeed
London,2025-03-01,5.5,77.1,11.3
London,2025-03-02,5.2,76.8,7.2
London,2025-03-03,5.8,72.0,5.9
London,2025-03-04,6.4,69.8,13.0
London,2025-03-05,7.2,74.2,14.5
London,2025-03-06,9.8,67.0,20.3
London,2025-03-07,13.0,67.0,18.7
London,2025-03-08,12.2,62.5,19.1
London,2025-03-09,12.2,62.3,20.1
London,2025-03-10,10.2,71.4,21.0
London,2025-03-11,7.3,67.3,20.7
London,2025-03-12,5.9,70.0,16.3
London,2025-03-13,4.8,79.3,18.5
London,2025-03-14,5.1,73.8,17.4
London,2025-03-15,5.2,63.5,22.1
London,2025-03-16,5.3,68.0,23.9
London,2025-03-17,6.6,71.0,19.8
London,2025-03-18,6.5,61.6,24.6
London,2025-03-19,10.2,64.0,13.9
London,2025-03-20,13.4,64.2,13.0
London,2025-03-21,13.3,67.5,24.0
London,2025-03-22,13.5,78.4,14.3
London,2025-03-23,11.4,83.4,17.4
London,2025-03-24,9.4,72.8,17.7
London,2025-03-25,10.2,81.6,13.7
London,2025-03-26,12.7,71.9,10.0
London,2025-03-27,10.1,79.3,17.8
London,2025-03-28,11.3,63.8,22.9
London,2025-03-29,9.7,62.5,25.2
London,2025-03-30,13.3,60.7,26.4
London,2025-03-31,11.1,62.9,14.9
New York,2025-03-01,7.9,41.3,37.0
New York,2025-03-02,-2.9,32.9,29.1
New York,2025-03-03,-0.8,36.5,17.3
New York,2025-03-04,6.1,49.4,17.6
New York,2025-03-05,10.3,75.2,26.1
New York,2025-03-06,9.2,63.5,33.5
New York,2025-03-07,5.7,29.9,34.2
New York,2025-03-08,5.4,31.0,30.9
New York,2025-03-09,6.0,31.1,25.8
New York,2025-03-10,12.0,33.5,18.0
New York,2025-03-11,12.5,40.0,21.0
New York,2025-03-12,9.5,34.7,25.9
New York,2025-03-13,6.3,58.9,24.3
New York,2025-03-14,7.7,61.6,17.2
New York,2025-03-15,7.1,83.2,15.1
New York,2025-03-16,12.3,84.7,23.4
New York,2025-03-17,11.5,76.4,30.1
New York,2025-03-18,8.3,38.4,30.2
New York,2025-03-19,10.8,40.9,14.9
New York,2025-03-20,8.1,84.8,16.6
New York,2025-03-21,7.7,45.2,43.6
New York,2025-03-22,10.8,33.3,39.3
New York,2025-03-23,4.3,37.3,27.5
New York,2025-03-24,7.0,80.6,19.9
New York,2025-03-25,11.3,39.9,31.7
New York,2025-03-26,7.6,40.6,28.8
New York,2025-03-27,6.1,34.1,28.5
New York,2025-03-28,11.9,36.5,16.0
New York,2025-03-29,16.4,52.7,28.0
New York,2025-03-30,7.2,79.4,16.4
New York,2025-03-31,13.9,80.2,16.0
Tokyo,2025-03-01,12.6,60.8,22.2
Tokyo,2025-03-02,14.5,56.8,12.1
Tokyo,2025-03-03,6.5,88.6,20.1
Tokyo,2025-03-04,2.4,76.5,15.3
Tokyo,2025-03-05,5.2,97.9,16.8
Tokyo,2025-03-06,9.2,59.7,22.1
Tokyo,2025-03-07,7.1,39.3,30.6
Tokyo,2025-03-08,3.3,63.6,11.8
